0.006000,0.000052
0.006000,0.008000
0.006000,0.062000
0.007000,0.176000
0.008000,0.307000
0.009000,0.411000
0.010000,0.489000
0.011000,0.541000
0.013000,0.574000
0.014000,0.594000
0.015000,0.500000
0.015000,0.551000
0.015000,0.589000
0.015000,0.609000
0.015000,0.614000
0.016000,0.626000
0.017000,0.612000
0.017000,0.621000
0.017000,0.626000
0.018000,0.594000
0.018000,0.627000
0.019000,0.568000
0.020000,0.546000
0.020000,0.628000
0.021000,0.534000
0.021000,0.623000
0.022000,0.521000
0.023000,0.618000
0.024000,0.518000
0.025000,0.511000
0.025000,0.611000
0.026000,0.502000
0.026000,0.604000
0.027000,0.497000
0.028000,0.598000
0.029000,0.492000
0.029000,0.591000
0.030000,0.489000
0.031000,0.487000
0.031000,0.584000
0.032000,0.486000
0.033000,0.484000
0.033000,0.578000
0.035000,0.483000
0.035000,0.568000
0.036000,0.483000
0.037000,0.483000
0.039000,0.484000
0.039000,0.556000
0.040000,0.484000
0.041000,0.484000
0.043000,0.485000
0.044000,0.486000
0.044000,0.539000
0.045000,0.485000
0.047000,0.486000
0.048000,0.488000
0.050000,0.491000
0.051000,0.492000
0.052000,0.491000
0.052000,0.525000
0.054000,0.489000
0.055000,0.488000
0.057000,0.487000
0.058000,0.486000
0.058000,0.514000
0.060000,0.486000
0.061000,0.486000
0.062000,0.484000
0.064000,0.484000
0.065000,0.484000
0.065000,0.502000
0.067000,0.485000
0.068000,0.486000
0.070000,0.486000
0.071000,0.486000
0.071000,0.492000
0.073000,0.486000
0.075000,0.486000
0.076000,0.486000
0.078000,0.485000
0.079000,0.485000
0.080000,0.487000
0.081000,0.485000
0.082000,0.485000
0.084000,0.486000
0.085000,0.486000
0.087000,0.486000
0.088000,0.486000
0.090000,0.486000
0.091000,0.486000
0.093000,0.486000
0.094000,0.486000
0.096000,0.486000
0.096000,0.488000
0.098000,0.486000
0.099000,0.487000
0.101000,0.487000
0.102000,0.487000
0.103000,0.492000
0.104000,0.487000
0.105000,0.487000
0.107000,0.487000
0.107000,0.494000
0.109000,0.488000
0.110000,0.488000
0.111000,0.495000
0.112000,0.488000
0.114000,0.488000
0.114000,0.495000
0.115000,0.488000
0.116000,0.494000
0.117000,0.488000
0.119000,0.488000
0.119000,0.493000
0.120000,0.488000
0.122000,0.489000
0.122000,0.493000
0.123000,0.489000
0.125000,0.489000
0.125000,0.492000
0.127000,0.489000
0.128000,0.489000
0.128000,0.490000
0.130000,0.489000
0.131000,0.490000
0.132000,0.489000
0.133000,0.490000
0.134000,0.490000
0.136000,0.490000
0.137000,0.490000
0.139000,0.490000
0.141000,0.491000
0.142000,0.491000
0.142000,0.492000
0.143000,0.492000
0.144000,0.492000
0.144000,0.493000
0.145000,0.492000
0.146000,0.491000
0.146000,0.494000
0.147000,0.494000
0.148000,0.491000
0.148000,0.494000
0.149000,0.491000
0.149000,0.494000
0.150000,0.492000
0.151000,0.492000
0.151000,0.493000
0.152000,0.492000
0.152000,0.493000
0.153000,0.491000
0.153000,0.493000
0.155000,0.492000
0.157000,0.492000
0.157000,0.493000
0.157000,0.494000
0.158000,0.493000
0.158000,0.494000
