0.01000,18.98500
0.02000,47.12000
0.03000,60.67500
0.04000,65.45700
0.05000,66.21000
0.06000,66.96300
0.07000,67.71700
0.08000,68.47000
0.09000,69.22300
0.10000,69.97700
0.11000,70.73000
0.12000,71.48300
0.13000,72.01400
0.14000,72.32200
0.15000,72.63000
0.16000,72.93900
0.17000,73.24700
0.18000,73.55500
0.19000,73.86300
0.20000,74.17100
0.21000,74.48000
0.22000,74.78200
0.23400,75.14800
0.25600,75.55600
0.28800,76.11000
0.33300,76.89900
0.37200,77.47300
0.40900,76.71300
0.44800,75.78000
0.49800,74.69200
0.54800,73.48100
0.59800,72.25600
0.64800,70.30900
0.67600,68.48300
0.69800,67.30400
0.71800,66.30800
0.73800,65.25800
0.75800,64.03800
0.77900,62.78100
0.80100,61.46700
0.82500,60.03800
0.85800,57.96400
0.90800,54.39500
0.95800,50.08300
0.98000,46.93900
0.99800,45.17600
1.01500,43.67100
1.03100,42.12600
1.04700,40.53700
1.06500,38.87500
1.08500,37.02300
1.11200,34.70300
1.15300,31.39000
1.20200,26.91700
1.22100,22.15100
1.23900,19.00700
1.25600,16.09300
1.27300,13.61100
1.29200,11.13200
1.31500,8.65900
1.34600,6.74900
1.39300,3.94800
1.42000,1.05100
